VariationID	Landmark	Chr	Start	End	VariationType	LocusChr	LocusStart	LocusEnd	Reference	PubMedID	Method/platform	Gain	Loss	TotalGainLossInv	Frequency	SampleSize	Genes
Variation_0001	CTC-232B23	chr1	1133865	1333865	CopyNumber	chr1	1133865	1359795	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	MXRA8,CPSF3L,MIR200A,B3GALT6,TAS1R3,SDF4,TNFRSF4,ACAP3,DVL1,PUSL1,MIR429,TNFRSF18,MIR200B,TTLL10,FAM132A,GLTPD1,SCNN1D,UBE2J2
Variation_0002	RP1-283E3	chr1	1651818	1762425	CopyNumber	chr1	1409796	2056500	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	GNB1,SLC35E2,NADK,MMP23A,CDK11A
Variation_0003	RP4-633I8	chr1	8680538	8824506	CopyNumber	chr1	8680538	8850906	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	RERE
Variation_0004	RP11-219C24	chr1	13117878	13302468	CopyNumber	chr1	12533434	13622361	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	PRAMEF19,PRAMEF20,PRAMEF18,PRAMEF21,PRAMEF15,PRAMEF9,PRAMEF13,PRAMEF14,PRAMEF8,PRAMEF16
Variation_0005	RP1-163M9	chr1	16752898	16870964	CopyNumber	chr1	16485259	17288428	Iafrate et al. (2004)	15286789	BAC Array CGH		2	2		39 control samples	ESPNP,MST1P9
Variation_0006	RP3-423B22	chr1	37611251	37723474	CopyNumber	chr1	37611251	37723474	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	GNL2,MEAF6,SNIP1,DNALI1,ZC3H12A
Variation_0008	RP6-65F20	chr1	57227898	57347675	CopyNumber	chr1	57227898	57347675	Iafrate et al. (2004)	15286789	BAC Array CGH	9	3	12		39 control samples	DAB1
Variation_0009	RP11-131O15	chr1	67424695	67546983	CopyNumber	chr1	67424695	67546983	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	IL23R,IL12RB2
Variation_0010	RP4-601K24	chr1	83213796	83343262	CopyNumber	chr1	83040583	83720332	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	
Variation_0011	RP11-335D10	chr1	95409233	95466862	CopyNumber	chr1	95207870	95466862	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	RWDD3
