VariationID	Landmark	Chr	Start	End	VariationType	LocusChr	LocusStart	LocusEnd	Reference	PubMedID	Method/platform	Gain	Loss	TotalGainLossInv	Frequency	SampleSize	Genes
Variation_10631	chr1:102540152..102540844	chr1	102540152	102540844	InDel	chr1	102540152	102540844	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10632	chr1:102540152..102540844	chr1	102540152	102540844	InDel	chr1	102540152	102540844	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10633	chr1:102540607..102540844	chr1	102540607	102540844	InDel	chr1	102540152	102540844	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10634	chr1:102540607..102540844	chr1	102540607	102540844	InDel	chr1	102540152	102540844	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10635	chr1:105732490..105732984	chr1	105732490	105732984	InDel	chr1	105732490	105732984	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10636	chr1:105732490..105732984	chr1	105732490	105732984	InDel	chr1	105732490	105732984	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10637	chr1:105732490..105732984	chr1	105732490	105732984	InDel	chr1	105732490	105732984	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10638	chr1:111099706..111100254	chr1	111099706	111100254	InDel	chr1	111099706	111100254	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10639	chr1:145822044..145822267	chr1	145822044	145822267	InDel	chr1	145821414	145822267	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10640	chr1:145822044..145822267	chr1	145822044	145822267	InDel	chr1	145821414	145822267	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10641	chr1:155303018..155303524	chr1	155303018	155303524	InDel	chr1	155303018	155303524	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10642	chr1:155334107..155334465	chr1	155334107	155334465	InDel	chr1	155333810	155334465	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10643	chr1:155334107..155334465	chr1	155334107	155334465	InDel	chr1	155333810	155334465	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10644	chr1:155334107..155334465	chr1	155334107	155334465	InDel	chr1	155333810	155334465	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10645	chr1:159624305..159624934	chr1	159624305	159624934	InDel	chr1	159624305	159624934	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10646	chr1:159624305..159624934	chr1	159624305	159624934	InDel	chr1	159624305	159624934	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10647	chr1:159624305..159624934	chr1	159624305	159624934	InDel	chr1	159624305	159624934	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10648	chr1:159624305..159624934	chr1	159624305	159624934	InDel	chr1	159624305	159624934	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10649	chr1:167086045..167086504	chr1	167086045	167086504	InDel	chr1	167086045	167086504	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10650	chr1:175405005..175405731	chr1	175405005	175405731	InDel	chr1	175405005	175405731	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10651	chr1:185824149..185824522	chr1	185824149	185824522	InDel	chr1	185824149	185824522	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10652	chr1:185824149..185824522	chr1	185824149	185824522	InDel	chr1	185824149	185824522	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10653	chr1:193469848..193470612	chr1	193469848	193470612	InDel	chr1	193469848	193470612	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10654	chr1:195844512..195844634	chr1	195844512	195844634	InDel	chr1	195844512	195844634	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10655	chr1:220211330..220211755	chr1	220211330	220211755	InDel	chr1	220211330	220211755	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	MIR548H2,CAPN2
Variation_10656	chr1:225273653..225274392	chr1	225273653	225274392	InDel	chr1	225273653	225274392	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10657	chr1:227628377..227628678	chr1	227628377	227628678	InDel	chr1	227628377	227628678	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	TRIM67
Variation_10658	chr1:227628377..227628678	chr1	227628377	227628678	InDel	chr1	227628377	227628678	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	TRIM67
Variation_10659	chr1:227628377..227628678	chr1	227628377	227628678	InDel	chr1	227628377	227628678	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	TRIM67
Variation_10660	chr1:227628377..227628678	chr1	227628377	227628678	InDel	chr1	227628377	227628678	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	TRIM67
Variation_10661	chr1:82124621..82124732	chr1	82124621	82124732	InDel	chr1	82124621	82124732	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	LPHN2
Variation_10662	chr1:82124621..82124732	chr1	82124621	82124732	InDel	chr1	82124621	82124732	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	LPHN2
Variation_10663	chr1:94862887..94863808	chr1	94862887	94863808	InDel	chr1	94862887	94863808	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10664	chr10:122766304..122767004	chr10	122766304	122767004	InDel	chr10	122766304	122767004	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10665	chr10:122766304..122767004	chr10	122766304	122767004	InDel	chr10	122766304	122767004	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10666	chr10:24421692..24421798	chr10	24421692	24421798	InDel	chr10	24421692	24421798	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	KIAA1217
Variation_10667	chr10:24891669..24892077	chr10	24891669	24892077	InDel	chr10	24891669	24892077	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10668	chr10:31287148..31287500	chr10	31287148	31287500	InDel	chr10	31287148	31287500	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	ZNF438
Variation_10669	chr10:31287148..31287500	chr10	31287148	31287500	InDel	chr10	31287148	31287500	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	ZNF438
Variation_10670	chr10:31287148..31287500	chr10	31287148	31287500	InDel	chr10	31287148	31287500	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	ZNF438
Variation_10671	chr10:31287148..31287500	chr10	31287148	31287500	InDel	chr10	31287148	31287500	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	ZNF438
Variation_10672	chr10:54457844..54457997	chr10	54457844	54457997	InDel	chr10	54457844	54457997	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10673	chr10:57119180..57119488	chr10	57119180	57119488	InDel	chr10	57119180	57119488	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10674	chr10:5944267..5944766	chr10	5944267	5944766	InDel	chr10	5944267	5945237	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	ANKRD16
Variation_10675	chr10:6228344..6228597	chr10	6228344	6228597	InDel	chr10	6228344	6228597	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	PFKFB3
Variation_10676	chr10:6298802..6299663	chr10	6298802	6299663	InDel	chr10	6298802	6299663	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	PFKFB3
Variation_10677	chr10:66983368..66983475	chr10	66983368	66983475	InDel	chr10	66983368	66983475	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10678	chr10:67006691..67006925	chr10	67006691	67006925	InDel	chr10	67006691	67006925	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10679	chr10:67172277..67173087	chr10	67172277	67173087	InDel	chr10	67172277	67173087	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10680	chr10:69738803..69739239	chr10	69738803	69739239	InDel	chr10	69738803	69739239	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	PBLD
Variation_10681	chr10:79780432..79780912	chr10	79780432	79780912	InDel	chr10	79780432	79780912	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10682	chr10:96862132..96862601	chr10	96862132	96862601	InDel	chr10	96862132	96862601	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10683	chr11:108425691..108426533	chr11	108425691	108426533	InDel	chr11	108425691	108426533	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10684	chr11:95464241..95464409	chr11	95464241	95464409	InDel	chr11	95464241	95464433	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	MAML2
Variation_10685	chr11:95464241..95464433	chr11	95464241	95464433	InDel	chr11	95464241	95464433	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	MAML2
Variation_10686	chr12:118452366..118452765	chr12	118452366	118452765	InDel	chr12	118452366	118452765	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10687	chr12:12432330..12433136	chr12	12432330	12433136	InDel	chr12	12432330	12433136	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	LOH12CR1
Variation_10688	chr12:25569029..25569197	chr12	25569029	25569197	InDel	chr12	25569029	25569197	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	IFLTD1
Variation_10689	chr12:27987410..27987606	chr12	27987410	27987606	InDel	chr12	27987410	27987606	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10690	chr12:29225145..29225760	chr12	29225145	29225760	InDel	chr12	29225145	29225760	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10691	chr12:38840991..38841126	chr12	38840991	38841126	InDel	chr12	38840991	38841126	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10692	chr12:39105985..39106948	chr12	39105985	39106948	InDel	chr12	39105985	39106948	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10693	chr12:39105985..39106948	chr12	39105985	39106948	InDel	chr12	39105985	39106948	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10694	chr12:40876491..40877162	chr12	40876491	40877162	InDel	chr12	40876491	40877162	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	YAF2
Variation_10695	chr12:72496988..72497407	chr12	72496988	72497407	InDel	chr12	72496988	72497407	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10696	chr12:78939801..78940386	chr12	78939801	78940386	InDel	chr12	78939801	78940386	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10697	chr12:88992727..88993412	chr12	88992727	88993412	InDel	chr12	88992727	88993412	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	
Variation_10698	chr12:93066106..93066386	chr12	93066106	93066386	InDel	chr12	93066106	93066386	Conrad et al. (2005)	16327808	Mendelian inconsistencies					HapMap individuals	PLXNC1
